*  EC          G       LABEL                   ION
      14.27618      2.0  'Level    1 = F2e02X '   1
      14.38691      2.0  'Level    2 = F2f02X '   1
      32.15659      4.0  'Level    3 = F1f04X '   1
      32.18023      4.0  'Level    4 = F1e04X '   1
      81.21512      4.0  'Level    5 = F2e04X '   1
      81.45981      4.0  'Level    6 = F2f04X '   1
      87.42646      6.0  'Level    7 = F1f06X '   1
      87.58829      6.0  'Level    8 = F1e06X '   1
     167.47050      6.0  'Level    9 = F2e06X '   1
     167.96291      6.0  'Level   10 = F2f06X '   1
     171.66823      8.0  'Level   11 = F1f08X '   1
     172.04395      8.0  'Level   12 = F1e08X '   1
     281.12137      8.0  'Level   13 = F2e08X '   1
     281.93594      8.0  'Level   14 = F2f08X '   1
     284.30505     10.0  'Level   15 = F1f010X '   1
     284.96973     10.0  'Level   16 = F1e010X '   1
     422.50122     10.0  'Level   17 = F2e010X '   1
     423.71140     10.0  'Level   18 = F2f010X '   1
     425.06104     12.0  'Level   19 = F1f012X '   1
     426.08838     12.0  'Level   20 = F1e012X '   1
     591.57458     12.0  'Level   21 = F2e012X '   1
     593.25208     12.0  'Level   22 = F2f012X '   1
     593.70782     14.0  'Level   23 = F1f014X '   1
     595.16986     14.0  'Level   24 = F1e014X '   1
     788.19067     14.0  'Level   25 = F2e014X '   1
     790.01202     16.0  'Level   26 = F1f016X '   1
     790.40515     14.0  'Level   27 = F2f014X '   1
     791.97876     16.0  'Level   28 = F1e016X '   1
    1012.13696     16.0  'Level   29 = F2e016X '   1
    1013.71936     18.0  'Level   30 = F1f018X '   1
    1014.95569     16.0  'Level   31 = F2f016X '   1
    1016.25836     18.0  'Level   32 = F1e018X '   1
    1263.15601     18.0  'Level   33 = F2e018X '   1
    1264.54883     20.0  'Level   34 = F1f020X '   1
    1266.64343     18.0  'Level   35 = F2f018X '   1
    1267.72510     20.0  'Level   36 = F1e020X '   1
    1540.95239     20.0  'Level   37 = F2e020X '   1
    1542.19080     22.0  'Level   38 = F1f022X '   1
    1545.16992     20.0  'Level   39 = F2f020X '   1
    1546.06616     22.0  'Level   40 = F1e022X '   1
    1845.19580     22.0  'Level   41 = F2e022X '   1
    1846.30591     24.0  'Level   42 = F1f024X '   1
    1850.20178     22.0  'Level   43 = F2f022X '   1
    1850.93909     24.0  'Level   44 = F1e024X '   1
    2175.52368     24.0  'Level   45 = F2e024X '   1
    2176.52539     26.0  'Level   46 = F1f026X '   1
    2181.37280     24.0  'Level   47 = F2f024X '   1
    2181.97144     26.0  'Level   48 = F1e026X '   1
    2531.54248     26.0  'Level   49 = F2e026X '   1
    2532.45117     28.0  'Level   50 = F1f028X '   1
    2538.28540     26.0  'Level   51 = F2f026X '   1
    2538.76196     28.0  'Level   52 = F1e028X '   1
    2746.09424      2.0  'Level   53 = F1e12X '   1
    2746.20044      2.0  'Level   54 = F1f12X '   1
    2763.92920      4.0  'Level   55 = F1f14X '   1
    2763.94971      4.0  'Level   56 = F1e14X '   1
    2811.16211      4.0  'Level   57 = F2e14X '   1
    2811.39453      4.0  'Level   58 = F2f14X '   1
    2817.13379      6.0  'Level   59 = F1f16X '   1
    2817.28809      6.0  'Level   60 = F1e16X '   1
